model,file,codec,run,text,latency_ms,ram_peak_mb,ram_avg_mb,cpu_avg_pct,cpu_peak_pct,vram_peak_mb,vram_avg_mb,gpu_util_avg_pct,gpu_util_peak_pct,gpu_power_avg_w,gpu_temp_max_c,model_load_ms,device,dtype
google/gemma-3n-E2B-it,1a-noisy.wav,gsm,1,"Сегодня вторник. Нужно успеть в магазинку, печь молоко, хлеб, помидоры и заехать на заправку.",22438.0,12175.61,11942.27,537.79,603.3,504.0,504.0,0.0,0.0,11.8,51.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1a-noisy.wav,gsm,2,"Сегодня вторник. Нужно успеть в магазинку, печь молоко, хлеб, помидоры и заехать на заправку.",19047.0,12219.18,12176.57,600.69,605.6,504.0,504.0,0.0,0.0,11.77,52.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1a-noisy.wav,gsm,3,"Сегодня вторник. Нужно успеть в магазинку, печь молоко, хлеб, помидоры и заехать на заправку.",18109.0,12221.13,12159.57,600.46,603.3,504.0,504.0,0.0,0.0,11.83,54.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1a-quiet.wav,gsm,1,"Сьогодні вівторок. Нужно сходить в магазин, купить молоко, хлеб, помидоры и дайери.",18781.0,12240.95,12203.19,599.19,604.5,504.0,504.0,0.0,0.0,11.59,53.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1a-quiet.wav,gsm,2,"Сьогодні вівторок. Нужно сходить в магазин, купить молоко, хлеб, помидоры и дайери.",18407.0,12248.0,12203.68,601.33,618.8,504.0,504.0,0.06,1.0,10.67,50.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1a-quiet.wav,gsm,3,"Сьогодні вівторок. Нужно сходить в магазин, купить молоко, хлеб, помидоры и дайери.",18297.0,12251.19,12207.65,601.12,618.8,504.0,504.0,0.0,0.0,10.62,48.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1b-noisy.wav,gsm,1,"Сегодня вторник, вечером обещаю дождь, поэтому нужно успеть в магазинку купить молоко, хлеб, помидоры, заехать на заправку, забрать сына с тренировки, около семи, и не забыть позвонить маме, обратно дороги.",31953.0,12300.0,12254.16,589.84,603.3,504.0,504.0,0.0,0.0,10.5,47.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1b-noisy.wav,gsm,2,"Сегодня вторник, вечером обещаю дождь, поэтому нужно успеть в магазинку купить молоко, хлеб, помидоры, заехать на заправку, забрать сына с тренировки, около семи, и не забыть позвонить маме, обратно дороги.",30047.0,12303.61,12251.81,600.53,605.6,504.0,504.0,0.0,0.0,10.29,48.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1b-noisy.wav,gsm,3,"Сегодня вторник, вечером обещаю дождь, поэтому нужно успеть в магазинку купить молоко, хлеб, помидоры, заехать на заправку, забрать сына с тренировки, около семи, и не забыть позвонить маме, обратно дороги.",30156.0,12290.42,12244.13,600.81,603.3,504.0,504.0,0.0,0.0,10.74,51.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1b-quiet.wav,gsm,1,"Сегодня вторник, вечером бычает дождь, поэтому нужно успеть пообедать, попить молока, успеть помидоры заесть, успеть затащить, забрать с тренировки в классе и для быстрого звонка маме, надо сделать.",30906.0,12295.83,12252.24,600.37,603.3,504.0,504.0,0.0,0.0,11.37,52.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1b-quiet.wav,gsm,2,"Сегодня вторник, вечером бычает дождь, поэтому нужно успеть пообедать, попить молока, успеть помидоры заесть, успеть затащить, забрать с тренировки в классе и для быстрого звонка маме, надо сделать.",30719.0,12300.0,12250.98,600.9,605.5,504.0,504.0,0.0,0.0,11.28,54.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,1b-quiet.wav,gsm,3,"Сегодня вторник, вечером бычает дождь, поэтому нужно успеть пообедать, попить молока, успеть помидоры заесть, успеть затащить, забрать с тренировки в классе и для быстрого звонка маме, надо сделать.",41813.0,12300.05,12114.22,516.48,646.9,504.0,504.0,0.0,0.0,11.51,54.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2a-noisy.wav,gsm,1,"Запущу ветку feature-out, GitHub и открою pull request на review.",19078.0,12125.34,12045.97,509.91,605.6,504.0,504.0,0.0,0.0,12.43,54.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2a-noisy.wav,gsm,2,"Запущу ветку feature-out, GitHub и открою pull request на review.",15500.0,12180.0,12113.8,581.46,603.8,504.0,504.0,0.0,0.0,11.61,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2a-noisy.wav,gsm,3,"Запущу ветку feature-out, GitHub и открою pull request на review.",14078.0,12213.08,12144.08,600.82,607.8,504.0,504.0,0.0,0.0,11.72,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2a-quiet.wav,gsm,1,"Я пошла ветку feature-аут, вот которая, вот которая, я открыла pull request, на видео.",17735.0,12196.75,12151.27,583.98,607.8,504.0,504.0,0.0,0.0,11.53,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2a-quiet.wav,gsm,2,"Я пошла ветку feature-аут, вот которая, вот которая, я открыла pull request, на видео.",18109.0,12170.26,12023.77,583.58,603.3,504.0,504.0,0.0,0.0,11.31,53.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2a-quiet.wav,gsm,3,"Я пошла ветку feature-аут, вот которая, вот которая, я открыла pull request, на видео.",19562.0,12207.74,12148.29,563.07,603.8,504.0,504.0,0.0,0.0,11.24,50.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2b-noisy.wav,gsm,1,"Запусти текущую ветку feature/auth. Открою pull request на main, добавлю Сергея в ревьюеры и проверю, что прошли все тесты и проверки перед мерджем. Оля, юнит-тесты и дайджест.",32078.0,12286.88,12203.24,601.42,650.2,504.0,504.0,0.0,0.0,10.41,48.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2b-noisy.wav,gsm,2,"Запусти текущую ветку feature/auth. Открою pull request на main, добавлю Сергея в ревьюеры и проверю, что прошли все тесты и проверки перед мерджем. Оля, юнит-тесты и дайджест.",31687.0,12263.05,12210.17,591.14,606.1,504.0,504.0,0.0,0.0,10.56,47.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2b-noisy.wav,gsm,3,"Запусти текущую ветку feature/auth. Открою pull request на main, добавлю Сергея в ревьюеры и проверю, что прошли все тесты и проверки перед мерджем. Оля, юнит-тесты и дайджест.",32985.0,12281.89,12233.7,584.08,605.5,504.0,504.0,0.0,0.0,10.75,50.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2b-quiet.wav,gsm,1,"Запусти GPU-версию, введи код. Открою pull request на моей GitHub. Открою pull request на моей GitHub. Добавь Сергея в Vue.js и проверь, что прошли все CI/CD-тесты. Приведи тесты и тайптесты.",35500.0,12307.24,12260.38,591.58,615.6,504.0,504.0,0.0,0.0,10.78,52.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2b-quiet.wav,gsm,2,"Запусти GPU-версию, введи код. Открою pull request на моей GitHub. Открою pull request на моей GitHub. Добавь Сергея в Vue.js и проверь, что прошли все CI/CD-тесты. Приведи тесты и тайптесты.",36250.0,12277.85,12230.12,588.7,637.5,504.0,504.0,0.09,1.0,11.46,53.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,2b-quiet.wav,gsm,3,"Запусти GPU-версию, введи код. Открою pull request на моей GitHub. Открою pull request на моей GitHub. Добавь Сергея в Vue.js и проверь, что прошли все CI/CD-тесты. Приведи тесты и тайптесты.",37516.0,12261.16,12154.69,585.09,614.3,504.0,504.0,0.06,1.0,11.57,54.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3a-noisy.wav,gsm,1,Открой dashboard эпидемиологии в Grafana и покажи пятый процентиль.,17922.0,12111.73,12043.07,549.93,603.8,504.0,504.0,0.09,1.0,11.64,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3a-noisy.wav,gsm,2,Открой dashboard эпидемиологии в Grafana и покажи пятый процентиль.,16094.0,12093.14,12073.23,598.05,603.3,504.0,504.0,0.07,1.0,11.43,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3a-noisy.wav,gsm,3,Открой dashboard эпидемиологии в Grafana и покажи пятый процентиль.,16578.0,12126.69,12089.65,587.91,603.3,504.0,504.0,0.03,1.0,11.29,55.0,49391.0,cpu,float32
google/gemma-3n-E2B-it,3a-quiet.wav,gsm,1,"Откройте дашборд электросети, графика и покажите пятый тридцати.",17297.0,12162.55,12122.44,564.18,603.3,504.0,504.0,0.0,0.0,10.8,52.0,49391.0,cpu,float32
