model,file,codec,run,text,latency_ms,ram_peak_mb,ram_avg_mb,cpu_avg_pct,cpu_peak_pct,vram_peak_mb,vram_avg_mb,gpu_util_avg_pct,gpu_util_peak_pct,gpu_power_avg_w,gpu_temp_max_c,model_load_ms,device,dtype
google/gemma-3n-E2B-it,1a-noisy.wav,clean,1,"Сегодня вторник. Нужно успеть в магазинку купить молоко, хлеб, помидоры и заехать на заправку.",25859.0,12117.8,11236.4,467.3,603.3,504.0,504.0,0.0,0.0,12.11,54.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1a-noisy.wav,clean,2,"Сегодня вторник. Нужно успеть в магазинку купить молоко, хлеб, помидоры и заехать на заправку.",23265.0,11834.36,11441.14,516.31,603.3,504.0,504.0,0.0,0.0,11.42,54.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1a-noisy.wav,clean,3,"Сегодня вторник. Нужно успеть в магазинку купить молоко, хлеб, помидоры и заехать на заправку.",19547.0,12215.95,12127.02,560.77,603.3,504.0,504.0,0.03,1.0,11.53,50.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1a-quiet.wav,clean,1,"Сегодня вторник. Нужно сперва в магазин купить молоко, хлеб, помидоры и заехать заправку.",19453.0,12224.58,12083.07,586.88,603.3,504.0,504.0,0.06,1.0,10.61,48.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1a-quiet.wav,clean,2,"Сегодня вторник. Нужно сперва в магазин купить молоко, хлеб, помидоры и заехать заправку.",18906.0,12237.6,12164.82,583.5,603.3,504.0,504.0,0.03,1.0,10.51,48.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1a-quiet.wav,clean,3,"Сегодня вторник. Нужно сперва в магазин купить молоко, хлеб, помидоры и заехать заправку.",19188.0,12239.0,12159.92,595.91,603.3,504.0,504.0,0.0,0.0,10.45,47.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1b-noisy.wav,clean,1,"Сегодня вторник, к вечеру обещает дождь, поэтому нужно успеть в магазин купить молоко, хлеб, помидоры, заехать на заправку, забрать сына с тренировки, около семи и не забыть позвонить маме на обратной дороге.",32406.0,12292.07,12065.85,596.65,605.5,504.0,504.0,0.02,1.0,10.32,48.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1b-noisy.wav,clean,2,"Сегодня вторник, к вечеру обещает дождь, поэтому нужно успеть в магазин купить молоко, хлеб, помидоры, заехать на заправку, забрать сына с тренировки, около семи и не забыть позвонить маме на обратной дороге.",34188.0,12196.28,12101.91,573.42,605.5,504.0,504.0,0.03,1.0,10.65,51.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1b-noisy.wav,clean,3,"Сегодня вторник, к вечеру обещает дождь, поэтому нужно успеть в магазин купить молоко, хлеб, помидоры, заехать на заправку, забрать сына с тренировки, около семи и не забыть позвонить маме на обратной дороге.",45750.0,12077.68,11967.25,453.86,603.3,504.0,504.0,0.0,0.0,11.27,52.0,56141.0,cpu,float32
google/gemma-3n-E2B-it,1b-quiet.wav,clean,1,"Сегодня вторник. К вечеру обещаю дождь, поэтому нужно успеть в магазинку купить молоко, хлеб, помидоры, наверное, заправку, забрать свои тренировки, в классы и не забыть позвонить маме на обратный звонок.",45516.0,12054.29,11910.63,471.56,603.3,504.0,504.0,0.0,0.0,11.75,53.0,56141.0,cpu,float32
